name,username,license,tags,freesound_id,path
Bow tapping violin thru delay pedal 1,ladystarlightnyc,http://creativecommons.org/licenses/by/3.0/,"['fx', 'bow', 'delay', 'percussion', 'pedal', 'violin', 'experimental']",197859,files/197859_3416499-hq.ogg
"Beethoven, violin sonata op 12.2, KIT 25 Oct 2024",euangile,https://creativecommons.org/licenses/by-nc/4.0/,"['sonata', 'violin', 'beethoven', 'tyabandha']",763099,files/763099_16467403-hq.ogg
voilinpart2compress.wav,jcveliz,http://creativecommons.org/licenses/sampling+/1.0/,"['modified', 'sample', 'violin']",92004,files/92004_1499847-hq.ogg
v_A.wav,menegass,http://creativecommons.org/publicdomain/zero/1.0/,"['mellotron', 'violin']",107319,files/107319_29308-hq.ogg
a4.wav,hammondman,http://creativecommons.org/publicdomain/zero/1.0/,"['violin', 'arco', 'keman']",333727,files/333727_3222989-hq.ogg
Violinfx9.wav,bennstir,https://creativecommons.org/licenses/by/4.0/,"['fx', 'violin']",81816,files/81816_16052-hq.ogg
ViolinAttack 064-4mf2.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269526,files/269526_4606014-hq.ogg
ViolinAttack 064-4mf3.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269527,files/269527_4606014-hq.ogg
ViolinAttack 064-4mf4.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269528,files/269528_4606014-hq.ogg
ViolinDetache 064-4mf1.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269530,files/269530_4606014-hq.ogg
ViolinDetache 064-4mf2.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269531,files/269531_4606014-hq.ogg
ViolinDetache 064-4mf3.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269532,files/269532_4606014-hq.ogg
ViolinDetache 064-4mf5.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269534,files/269534_4606014-hq.ogg
ViolinLure 064-4mf1.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269535,files/269535_4606014-hq.ogg
ViolinLure 064-4mf2.wav,milanvdmeer,http://creativecommons.org/licenses/by/3.0/,"['violin', 'single-note', 'mf']",269536,files/269536_4606014-hq.ogg
Glitchy Robot Scream - 7.wav,Creat142100,http://creativecommons.org/publicdomain/zero/1.0/,"['Noise', 'Robot', 'Cursed', 'Glitch', 'Computer', 'Mechanical', 'Glitchy', 'Technology', 'Scream']",518763,files/518763_8278798-hq.ogg
cell_scream5.aif,thanvannispen,https://creativecommons.org/licenses/by/4.0/,['scream'],125130,files/125130_13258-hq.ogg
scream.wav,marionagm90,http://creativecommons.org/licenses/by/3.0/,"['666moviescream', 'upf', 'frighten', 'shout', 'movie', 'screaming', 'scream']",220655,files/220655_3824909-hq.ogg
Voice_AdultMale_DeathScream_10.wav,MrFossy,http://creativecommons.org/publicdomain/zero/1.0/,"['voice', 'pain', 'male', 'hurt', 'shout', 'death', 'hit', 'yell', 'grunt', 'scream']",547189,files/547189_129727-hq.ogg
Child's scream 7,J.Zazvurek,https://creativecommons.org/licenses/by/4.0/,"['horror', 'scream', 'children', 'child']",166624,files/166624_199526-hq.ogg
