freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f23,574234__kbrecordzz__groove-metal-break-6.wav,96416,100608,0.008711740260815802,-601.1994,142.68317,-14.194992,48.895115,2.697158,16.584938,13.804451,9.349835,4.9255104,1.7492746,0.4135837,-4.636715,1.8535991
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f24,574234__kbrecordzz__groove-metal-break-6.wav,100608,104800,0.01259778019126135,-594.2416,151.03001,-8.106059,46.822342,8.895232,19.576824,12.74713,6.5241413,3.6771393,0.64441353,-2.9776177,-2.6006594,2.0998278
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f25,574234__kbrecordzz__groove-metal-break-6.wav,104800,108992,0.003525171571105491,-737.0593,188.74281,-1.0601337,56.285072,4.7658186,20.823387,12.022496,10.121003,9.668594,4.5932536,-5.3046346,-4.40457,4.8329687
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f26,574234__kbrecordzz__groove-metal-break-6.wav,108992,113184,0.016336637598867634,-541.7705,118.23888,20.572742,30.134123,13.7649765,16.108974,16.24673,6.7115617,12.3178625,6.955411,-1.6176845,-1.4271245,2.7976553
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f27,574234__kbrecordzz__groove-metal-break-6.wav,113184,117376,0.008880329496077909,-578.77734,125.197525,-6.197093,46.95435,21.375397,23.624561,15.95274,10.732262,2.1093068,4.887228,-0.44731957,10.36841,10.486959
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f28,574234__kbrecordzz__groove-metal-break-6.wav,117376,121568,0.012046107809052213,-533.0403,115.62652,15.805487,38.545734,18.716509,24.542656,16.663334,5.096594,4.431101,6.689309,0.19156906,-0.5163474,1.0445647
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f29,574234__kbrecordzz__groove-metal-break-6.wav,121568,125760,0.008243521661248827,-575.7585,132.84695,-4.8561335,44.878044,8.701787,20.626713,20.429228,18.217854,6.1336718,8.35317,1.1298026,3.3935726,0.8456342
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f30,574234__kbrecordzz__groove-metal-break-6.wav,125760,129952,0.013640287268252773,-514.5872,124.16367,28.362011,32.88633,9.683384,7.0703173,6.311374,5.5131555,13.304836,5.3080864,1.389953,-3.527732,5.117492
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f31,574234__kbrecordzz__groove-metal-break-6.wav,129952,134144,0.009654826790321874,-564.7788,121.95747,10.925872,45.870193,18.9627,21.85085,10.818747,-1.7956624,-1.8996092,1.8556477,0.12912434,0.114757136,-3.2294145
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f32,574234__kbrecordzz__groove-metal-break-6.wav,134144,138336,0.012922312467152836,-514.0853,114.591125,12.335445,39.56798,5.6796956,19.367216,10.217019,-2.3211496,-5.7558703,0.2517816,1.5960159,-0.0860413,3.953306
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f33,574234__kbrecordzz__groove-metal-break-6.wav,138336,142528,0.008132606062270302,-580.1728,128.08856,1.7105874,36.43141,5.5589933,19.297688,16.409489,7.7123675,5.9002557,-3.274258,-2.3295472,2.592964,-1.7491059
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f34,574234__kbrecordzz__groove-metal-break-6.wav,142528,146720,0.01256881779386797,-573.30444,128.28342,5.1778193,36.79497,3.3920567,23.600752,11.178975,2.3649716,2.1844926,-4.7810802,1.8580234,-8.929142,-3.1408758
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f35,574234__kbrecordzz__groove-metal-break-6.wav,146720,150912,0.0065230526996932865,-640.708,147.27338,4.936231,41.87777,15.861648,13.250633,6.9191675,9.533144,8.340425,6.439054,-5.8134933,-3.6223462,0.094654076
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f36,574234__kbrecordzz__groove-metal-break-6.wav,150912,155104,0.005574899320384018,-625.1392,135.13974,-20.63981,35.211857,-9.963313,16.42457,13.027924,5.837942,-6.8029404,-8.699147,-1.3120304,-2.5316286,0.614404
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f37,574234__kbrecordzz__groove-metal-break-6.wav,155104,159296,0.007280916203069323,-578.2583,121.60771,17.40707,32.22648,11.942455,12.337227,16.651024,4.049714,3.96973,-3.180102,-4.2723885,-11.449445,-2.684807
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f38,574234__kbrecordzz__groove-metal-break-6.wav,159296,163488,0.006121938920203056,-595.98517,140.65228,-10.46967,45.27397,5.805138,16.248028,17.842447,13.646185,9.833721,-1.680048,-2.9980795,-4.2732286,2.6772053
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f39,574234__kbrecordzz__groove-metal-break-6.wav,163488,167680,0.015213019975269113,-583.14355,144.38365,5.483681,54.915085,10.948965,22.478859,18.350813,7.698106,1.707637,2.5461414,0.36501282,-2.8029897,-1.0606334
