freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
15151,15151_f0,files/15151_2518-hq.ogg,0,4192,0.006017972494809682,-1150.6901,153.94089,133.5224,106.2594,79.07108,57.00576,41.725807,31.867308,24.741514,18.193176,11.555847,5.39439,0.5311841
15151,15151_f1,files/15151_2518-hq.ogg,4192,8384,0.002821940502137628,-1170.3336,129.81712,118.75751,102.60693,84.10569,65.96665,50.214134,37.805916,28.622236,21.782555,16.137253,10.742498,5.158004
15151,15151_f2,files/15151_2518-hq.ogg,8384,12576,0.0016172548741784714,-1177.4796,120.57629,111.819305,98.64172,82.83112,66.3099,50.74472,37.258705,26.306349,17.732376,10.975723,5.345356,0.27875793
15151,15151_f3,files/15151_2518-hq.ogg,12576,16768,0.0012742142185910058,-1182.9984,113.13024,105.38565,93.698135,79.605934,64.76577,50.62178,38.166008,27.837263,19.571838,12.969025,7.5080833,2.7456465
15151,15151_f4,files/15151_2518-hq.ogg,16768,20960,0.0009449666351762436,-1189.7023,104.43132,98.83304,90.117294,79.10108,66.74334,54.003677,41.719322,30.515684,20.767647,12.610001,5.9878654,0.729205
15151,15151_f5,files/15151_2518-hq.ogg,20960,25152,0.0016471158912163655,-1184.9839,110.79668,104.32568,94.31209,81.77964,67.9244,53.930725,40.80677,29.261763,19.64981,11.982651,6.003872,1.302554
15151,15151_f6,files/15151_2518-hq.ogg,25152,29344,0.0015516832812141827,-1184.5546,111.5219,105.37494,95.8091,83.73258,70.22027,56.359177,43.107918,31.187773,21.026062,12.754761,6.259342,1.2615308
15151,15151_f7,files/15151_2518-hq.ogg,29344,33536,0.0016777841871931352,-1185.2827,110.79619,105.48471,97.0742,86.17686,73.557625,60.05385,46.494408,33.62252,22.035042,12.14267,4.155346,-1.9084598
15151,15151_f8,files/15151_2518-hq.ogg,33536,37728,0.0016912784967713685,-1186.1375,109.42503,103.68561,94.740555,83.41404,70.67217,57.48073,44.68267,32.9103,22.549194,13.750549,6.4821663,0.59912384
15151,15151_f9,files/15151_2518-hq.ogg,37728,41920,0.0013314797223069285,-1184.8667,111.008224,104.67175,94.87367,82.62498,69.10461,55.47647,42.726448,31.541365,22.254631,14.860535,9.089331,4.5205984
15151,15151_f10,files/15151_2518-hq.ogg,41920,46112,0.0011122863711291596,-1192.7317,100.473434,95.77887,88.33775,78.68125,67.47407,55.44484,43.3171,31.742155,21.246796,12.198517,4.7922783,-0.9422046
15151,15151_f11,files/15151_2518-hq.ogg,46112,50304,0.0009934806641731554,-1193.6144,99.25896,94.67285,87.432236,78.08955,67.32459,55.86505,44.410088,33.560646,23.77063,15.321335,8.321949,2.7323103
15151,15151_f12,files/15151_2518-hq.ogg,50304,54496,0.001025063049702244,-1193.6017,99.44743,95.34567,88.82509,80.32072,70.3729,59.568832,48.487206,37.647713,27.47528,18.280457,10.256819,3.4921408
15151,15151_f13,files/15151_2518-hq.ogg,54496,58688,0.0009216130462311607,-1191.3911,102.221115,97.12741,89.15968,79.019966,67.547386,55.603073,43.96528,33.244606,23.836876,15.914963,9.457968,4.3062735
15151,15151_f14,files/15151_2518-hq.ogg,58688,62880,0.001138210069132215,-1190.01,104.09361,98.77484,90.48439,79.98792,68.18784,55.99153,44.194466,33.39202,23.93843,15.953049,9.367987,4.0011053
15151,15151_f15,files/15151_2518-hq.ogg,62880,67072,0.0009625294736323466,-1192.182,101.16753,96.24155,88.47133,78.460365,66.95182,54.74225,42.59716,31.173994,20.966995,12.277664,5.2139397,-0.28497803
15151,15151_f16,files/15151_2518-hq.ogg,67072,71264,0.000985278428055858,-1187.7283,107.0526,100.9747,91.56029,79.75965,66.68519,53.441925,40.97616,29.961851,20.747711,13.366974,7.6027107,3.0890875
15151,15151_f17,files/15151_2518-hq.ogg,71264,75456,0.0009488771093710688,-1192.2572,101.176865,96.58237,89.31465,79.90931,69.028206,57.384674,45.671898,34.497536,24.337242,15.509201,8.171604,2.33916
15151,15151_f18,files/15151_2518-hq.ogg,75456,79648,0.0007905433423646533,-1190.6407,103.33305,98.36673,90.53621,80.45188,68.861336,56.56012,44.30654,32.74665,22.36351,13.453384,6.130665,0.3558148
15151,15151_f19,files/15151_2518-hq.ogg,79648,83840,0.000766341695348725,-1195.9033,96.10985,91.7742,84.91058,76.01975,65.72515,54.705414,43.627586,33.083702,23.542511,15.319382,8.567631,3.2898245
15151,15151_f20,files/15151_2518-hq.ogg,83840,88032,0.0009292787836708185,-1193.108,99.92491,95.18817,87.69667,78.00608,66.80645,54.846344,42.858864,31.492338,21.258858,12.503342,5.3960075,-0.054196477
15151,15151_f21,files/15151_2518-hq.ogg,88032,92224,0.0008525071480801998,-1195.66,96.4315,92.05231,85.18555,76.41041,66.41645,55.907684,45.517296,35.740837,26.902779,19.155792,12.510099,6.8814993
15151,15151_f22,files/15151_2518-hq.ogg,92224,96416,0.0006306074730312552,-1194.5035,98.0056,93.431274,86.20853,76.888466,66.15121,54.72789,43.324486,32.55172,22.874573,14.584427,7.7970543,2.4733305
15151,15151_f23,files/15151_2518-hq.ogg,96416,100608,0.0006417184499383883,-1199.452,91.27806,87.48439,81.463684,73.63294,64.5115,54.66458,44.648445,34.958168,25.988853,18.011917,11.169516,5.4852667
15151,15151_f24,files/15151_2518-hq.ogg,100608,104800,0.0005495087563536549,-1200.3711,90.07353,86.54854,80.92145,73.53684,64.82908,55.2789,45.37197,35.5579,26.218918,17.649002,10.045774,3.51406
15151,15151_f25,files/15151_2518-hq.ogg,104800,108992,0.0004065226450676226,-1200.7754,89.56048,86.19618,80.78833,73.61942,65.055885,55.519577,45.459557,35.320488,25.514832,16.398651,8.254086,1.2786816
15151,15151_f26,files/15151_2518-hq.ogg,108992,113184,0.00045303024977218106,-1203.1647,86.247795,83.078316,77.982544,71.225044,63.149574,54.15216,44.655342,35.078285,25.810928,17.191223,9.488279,2.891963
15151,15151_f27,files/15151_2518-hq.ogg,113184,117376,0.00028607394290334397,-1207.2908,80.65081,78.17164,74.14798,68.735756,62.14344,54.61978,46.443535,37.908836,29.3121,20.938309,13.048803,5.8703527
15151,15151_f28,files/15151_2518-hq.ogg,117376,121568,0.00019346430670214064,-1210.2806,76.47108,74.13752,70.35534,65.27799,59.10874,52.08751,44.479393,36.559486,28.599789,20.85611,13.557539,6.8975744
15151,15151_f29,files/15151_2518-hq.ogg,121568,125760,0.000186155159168571,-1213.6254,71.87122,69.9174,66.73315,62.422646,57.126945,51.016327,44.285423,37.144173,29.81036,22.501114,15.425024,8.774428
15151,15151_f30,files/15151_2518-hq.ogg,125760,129952,0.00011837433397997427,-1215.0868,69.8014,67.838905,64.64152,60.31556,55.0046,48.88195,42.14538,35.007866,27.689972,20.411041,13.381163,6.7933264
15151,15151_f31,files/15151_2518-hq.ogg,129952,134144,0.00010054510883020081,-1216.5892,67.71778,65.87644,62.873146,58.803017,53.795067,48.005623,41.614067,34.815025,27.81166,20.808167,14.00263,7.5797644
15151,15151_f32,files/15151_2518-hq.ogg,134144,138336,6.923147740254876e-05,-1220.2194,62.63904,60.96137,58.226418,54.522682,49.969975,44.713036,38.917473,32.76214,26.432816,20.115051,13.987516,8.215392
15151,15151_f33,files/15151_2518-hq.ogg,138336,142528,3.217754331026368e-05,-1223.8405,57.58887,56.120213,53.721992,50.46601,46.450184,41.793495,36.633278,31.11955,25.41008,19.66504,14.04154,8.688201
15151,15151_f34,files/15151_2518-hq.ogg,142528,146720,2.077612172783786e-05,-1229.0265,50.3454,49.145832,47.185806,44.5225,41.23374,37.414085,33.17294,28.629805,23.91063,19.143417,14.454092,9.962058
15151,15151_f35,files/15151_2518-hq.ogg,146720,150912,1.5265095040543388e-05,-1230.141,48.775333,47.59389,45.66365,43.04119,39.803413,36.043922,31.870893,27.402494,22.763222,18.07962,13.476088,9.070579
15151,15151_f36,files/15151_2518-hq.ogg,150912,155104,1.601541756104877e-05,-1230.8254,47.82472,46.694904,44.848557,42.339134,39.23928,35.637413,31.635832,27.346281,22.886597,18.376633,13.934362,9.671775
15151,15151_f37,files/15151_2518-hq.ogg,155104,159296,1.7051090920016965e-05,-1229.5543,49.593815,48.3792,46.39485,43.69912,40.37127,36.507805,32.22021,27.630293,22.866348,18.058762,13.335699,8.818641
15151,15151_f38,files/15151_2518-hq.ogg,159296,163488,1.3630045400150405e-05,-1231.247,47.216686,46.051533,44.14818,41.562828,38.371834,34.66816,30.559172,26.162169,21.600677,17.000168,12.483938,8.168807
15151,15151_f39,files/15151_2518-hq.ogg,163488,167680,8.763762311796651e-06,-1231.4587,46.904186,45.700733,43.735428,41.067223,37.776176,33.95971,29.730299,25.210768,20.530327,15.820145,11.208952,6.818465
15151,15151_f40,files/15151_2518-hq.ogg,167680,171872,5.787729022612098e-06,-1235.7723,40.87016,39.86349,38.21895,35.984917,33.227196,30.025795,26.47328,22.670668,18.724411,14.742676,10.83177,7.0924444
15151,15151_f41,files/15151_2518-hq.ogg,171872,176064,4.822837512314547e-06,-1236.1125,40.36558,39.289425,37.53221,35.146782,32.20507,28.794502,25.016127,20.980135,16.802567,12.601105,8.491337,4.582465
11853,11853_f0,files/11853_32690-hq.ogg,0,4192,0.005161849142030905,-736.7944,243.49146,-35.79647,41.776917,18.31182,13.711573,-9.027776,0.79898846,-4.730618,3.8223574,-3.9100251,-13.228503,-18.098808
11853,11853_f1,files/11853_32690-hq.ogg,4192,8384,0.005145710388212713,-766.6333,278.34268,-28.815048,25.784624,9.975607,11.054547,-14.973595,-5.9056644,5.667067,13.123912,-8.727184,-20.390156,-13.895743
11853,11853_f2,files/11853_32690-hq.ogg,8384,12576,0.0050052418053605175,-787.6447,297.2409,-19.724594,16.918665,0.018987417,4.8727274,-5.942322,3.5992222,7.2108865,-10.882308,-18.095379,-7.300232,6.2426176
11853,11853_f3,files/11853_32690-hq.ogg,12576,16768,0.0042876346420695766,-813.6984,300.0062,-8.919548,9.837975,-7.0756855,-3.104247,-5.275017,0.7759646,3.5382562,-6.9607306,-17.52417,-18.292393,6.573016
11853,11853_f4,files/11853_32690-hq.ogg,16768,20960,0.004188310554009357,-828.3089,297.7829,-15.139351,-3.50605,-17.527317,-11.665465,-5.4489975,-13.398603,-8.649697,-11.221175,-14.965107,-25.070652,-19.7734
11853,11853_f5,files/11853_32690-hq.ogg,20960,25152,0.005183176684925574,-824.8597,315.02463,4.4662633,1.3544388,-8.814318,1.725129,2.655548,-6.4489574,-4.6671653,-5.99813,-4.0534673,-18.837917,-21.791145
11853,11853_f6,files/11853_32690-hq.ogg,25152,29344,0.005909302762446513,-833.542,317.8199,9.441849,7.138756,2.0323007,2.1667871,7.0784225,-0.2037183,0.7894846,-1.1696006,-1.6546901,-17.381435,-20.28817
11853,11853_f7,files/11853_32690-hq.ogg,29344,33536,0.0064681049521642785,-834.1615,315.86264,7.6944737,7.8791428,-1.3054984,-4.445609,6.9621735,9.207613,15.408412,4.59562,-7.045304,-19.540386,-6.4018297
11853,11853_f8,files/11853_32690-hq.ogg,33536,37728,0.006391789166981937,-834.2267,315.1667,6.441788,4.63459,-3.9774344,-4.9511175,12.791374,17.064146,17.061152,-0.7729255,-16.53999,-7.144638,8.789195
11853,11853_f9,files/11853_32690-hq.ogg,37728,41920,0.006477653980255127,-842.69995,315.7175,9.80986,3.2683487,0.20994353,1.562539,15.574516,13.031019,16.045092,5.1042147,-11.605461,-19.882801,-2.1211405
11853,11853_f10,files/11853_32690-hq.ogg,41920,46112,0.006744908012506616,-843.353,315.82324,16.594986,9.5037,3.9806192,3.8725748,10.200935,5.972765,6.0740685,2.5380297,-1.192387,-17.283634,-18.715187
11853,11853_f11,files/11853_32690-hq.ogg,46112,50304,0.0067380088886231865,-840.0771,321.69876,20.01472,10.579765,-2.1878836,-2.6012259,10.667046,0.8448733,-0.49480188,-4.7645025,-0.32994497,-8.391483,-20.010666
11853,11853_f12,files/11853_32690-hq.ogg,50304,54496,0.006371407563449772,-839.16125,321.0283,16.561539,10.060402,2.4633157,-4.3208456,3.6720734,0.33258998,1.1366678,-4.0150976,-2.7645078,-14.666225,-18.228813
11853,11853_f13,files/11853_32690-hq.ogg,54496,58688,0.006151731687647695,-840.1956,320.00143,17.714584,10.891533,-0.7981436,-9.463698,0.79252636,6.6687565,10.700297,-7.028266,-17.200783,-24.745342,-7.985162
11853,11853_f14,files/11853_32690-hq.ogg,58688,62880,0.004710503661905536,-847.41125,313.44678,14.963928,5.195549,-10.135576,-15.922713,7.544571,16.154264,12.8705015,-15.7340765,-31.708523,-8.729507,8.525504
11853,11853_f15,files/11853_32690-hq.ogg,62880,67072,0.0035464388268594523,-860.6681,295.4439,-2.9705272,-12.39212,-13.235401,-4.074935,7.8276978,8.389009,14.021579,-2.5107946,-19.799149,-19.551403,3.6547499
11853,11853_f16,files/11853_32690-hq.ogg,67072,71264,0.003180721561417325,-855.31793,297.47342,-1.562141,-0.34714508,-7.4431934,-10.318923,2.6876144,-2.3686886,1.9364344,-0.82744515,-9.531372,-24.007862,-16.449074
11853,11853_f17,files/11853_32690-hq.ogg,71264,75456,0.003967064027567856,-852.67395,308.3698,8.242294,1.7066422,-2.0298026,-4.9615393,3.9927902,-3.2558804,-1.3908056,-4.003524,-4.2403455,-13.945263,-19.73272
11853,11853_f18,files/11853_32690-hq.ogg,75456,79648,0.004611921219425347,-846.1884,315.24142,12.466522,-0.23651886,-2.5662863,0.324952,5.74691,1.1912402,2.9918084,-3.8641577,-4.256081,-13.468983,-14.265267
11853,11853_f19,files/11853_32690-hq.ogg,79648,83840,0.005153429417209771,-840.9028,317.86575,12.288406,2.9800491,-3.8060172,-4.1982107,5.38813,4.4684086,9.821971,-3.4018316,-14.238892,-19.213612,-3.045888
11853,11853_f20,files/11853_32690-hq.ogg,83840,88032,0.005101450526987323,-849.6729,313.87076,14.385376,3.5134506,-3.3792288,-7.2603827,10.413582,18.941423,16.782862,-13.916198,-29.734058,-9.387516,7.6346006
11853,11853_f21,files/11853_32690-hq.ogg,88032,92224,0.005000414739128287,-842.6525,316.84683,9.473022,-0.70101166,-4.462618,-2.304473,10.218224,7.758997,12.027118,-0.5731956,-13.515198,-20.139324,-4.19135
11853,11853_f22,files/11853_32690-hq.ogg,92224,96416,0.005104068581384557,-844.74585,312.55942,8.925476,5.716545,5.055998,3.4963007,9.488144,3.8496647,4.754481,-3.2609854,-7.1757817,-16.013653,-16.369644
11853,11853_f23,files/11853_32690-hq.ogg,96416,100608,0.0057065932805301575,-843.013,320.4163,15.365723,6.5060654,2.7505624,-2.2979803,6.899002,-0.55726445,-1.0158209,-5.2446585,-2.9982038,-5.638832,-11.127511
11853,11853_f24,files/11853_32690-hq.ogg,100608,104800,0.004921345765354069,-848.62335,316.28815,19.183884,8.446373,1.2596567,-0.7696754,6.3624496,-1.9866086,0.82048285,1.4417619,-0.5492481,-13.529324,-13.9576235
11853,11853_f25,files/11853_32690-hq.ogg,104800,108992,0.0015425128108672514,-1091.558,210.9263,132.29486,58.521187,20.73083,13.652038,14.746338,11.466093,6.767115,5.8588076,6.972427,5.5823708,1.137721
11853,11853_f26,files/11853_32690-hq.ogg,108992,113184,0.0003889408957867222,-1116.1394,185.38107,124.50406,59.45527,16.65875,1.9316491,3.3724442,6.09083,3.8815866,-0.5179969,-2.6602979,-1.9424933,-1.0775348
11853,11853_f27,files/11853_32690-hq.ogg,113184,117376,9.503656329999443e-05,-1145.6064,150.50842,105.026,53.734627,16.810392,1.8854607,2.550972,6.203333,4.0882516,-3.999442,-12.484932,-16.274097,-14.750207
11853,11853_f28,files/11853_32690-hq.ogg,117376,121568,3.627481166529291e-05,-1160.0574,133.34898,94.98218,48.84133,11.181913,-9.140265,-13.344292,-9.288923,-5.1763244,-4.901252,-7.543549,-10.139942,-10.828866
11853,11853_f29,files/11853_32690-hq.ogg,121568,125760,3.285598692320685e-05,-1169.7015,123.19323,93.26361,55.88111,23.180231,2.9155054,-4.084755,-2.5521984,1.0723978,2.3539705,0.4035374,-3.0560036,-5.8277597
11853,11853_f30,files/11853_32690-hq.ogg,125760,129952,2.5331122686958495e-05,-1188.9993,100.676865,82.71592,58.816383,35.359245,17.289549,6.5395737,1.9767321,0.6839701,-0.2406913,-2.3246655,-5.3790016,-8.129479
41826,41826_f0,files/41826_4948-hq.ogg,0,4192,0.008939915030967189,-1049.4774,-222.50221,47.637615,76.91043,-75.19951,-1.8967162,49.073044,-21.132963,-34.693367,49.70928,-14.866318,-18.87371,9.11188
41826,41826_f1,files/41826_4948-hq.ogg,4192,8384,0.006868781024263105,-1060.1403,-212.65111,47.715717,72.41731,-74.34822,1.8518189,46.592705,-23.936056,-29.570616,47.577076,-16.081947,-18.892502,13.128562
